season,episode_num_in_season,title,directed_by,written_by,imdb_rating,desc,us_viewers,Rachel,Ross,Joey,Chandler,Monica,Phoebe
1,1,The One Where Monica Gets a Roommate,James Burrows,David Crane & Marta Kauffman,8.3,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.",21500000,1,0,0,0,1,0
1,2,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,8,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,20200000,1,1,0,0,1,0
1,3,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,8.1,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,19500000,0,0,0,1,1,1
1,4,The One with George Stephanopoulos,James Burrows,Alexa Junge,8.1,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",19700000,0,1,1,1,0,0
1,5,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,8.4,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",18600000,1,1,1,1,1,0
1,6,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,8.1,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,18200000,1,0,1,1,1,0
1,7,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,9,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",23500000,1,1,0,1,0,0
1,8,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,8.1,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,21100000,0,1,0,1,1,0
1,9,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,8.2,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,23100000,1,0,0,0,1,0
1,10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,8,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,19900000,0,1,0,0,0,1
1,11,The One with Mrs. Bing,James Burrows,Alexa Junge,8.2,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",26600000,0,1,1,1,1,1
1,12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,8.2,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,24000000,1,1,1,1,0,1
1,13,The One with the Boobies,Alan Myerson,Alexa Junge,8.6,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,25800000,1,0,1,1,0,1
1,14,The One with the Candy Hearts,James Burrows,Bill Lawrence,8.2,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",23800000,0,1,1,1,0,0
1,15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,8.2,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",24800000,0,1,0,0,1,0
1,16,The One with Two Parts: Part 1,Michael Lembeck,Marta Kauffman & David Crane,8.1,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,26100000,0,1,1,1,0,1
1,17,The One with Two Parts: Part 2,Michael Lembeck,Marta Kauffman & David Crane,8.4,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.",30500000,1,0,1,0,1,1
1,18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,8.8,"As Rachel interviews for a new job, the girls take on the guys in a game of poker.",30400000,1,0,0,0,0,0
1,19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,8.1,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,29400000,1,1,0,0,0,0
1,20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,7.8,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.",30000000,1,0,0,1,0,0
1,21,The One with the Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,7.8,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,28400000,0,1,1,0,1,0
1,22,The One with the Ick Factor,Robby Benson,Alexa Junge,8.3,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,29900000,0,0,0,1,1,1
1,23,The One with the Birth,James Burrows,Story by: David Crane & Marta KauffmanTeleplay by: Jeff Greenstein & Jeff Strauss,8.7,"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.",28700000,1,1,1,0,0,0
1,24,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,8.9,"As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.",31300000,1,1,1,1,0,0
2,1,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,8.5,"Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut.",32100000,1,1,1,1,1,1
2,2,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,8.2,"Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer.",29800000,1,1,1,0,1,0
2,3,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,8.3,"Mr. Heckles dies and leaves all his possessions to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Rachel and Monica argue over a lamp, Phoebe and Ross argue over evolution.",30200000,1,1,0,1,1,1
2,4,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,7.9,"When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie.",28100000,1,1,0,0,0,1
2,5,The One with Five Steaks and an Eggplant,Ellen Gittelsohn,Chris Brown,8.2,"The gang are divided by income issues; Monica, Ross and Chandler make more money, while Rachel, Phoebe, and Joey don't. Chandler also uses a case of mistaken identity to his advantage.",28300000,1,1,1,1,1,1
2,6,The One with the Baby on the Bus,Gail Mancuso,Betsy Borns,8.6,"Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer.",30200000,0,1,1,1,1,1
2,7,The One Where Ross Finds Out,Peter Bonerz,Michael Borkow,9,"A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.",30500000,1,1,0,1,1,1
2,8,The One with the List,Mary Kay Place,David Crane & Marta Kauffman,8.5,"With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute.",32900000,1,1,1,1,1,0
2,9,The One with Phoebe's Dad,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,7.9,"Phoebe tracks down her father, but isn't sure whether she should meet him.",27800000,0,0,0,0,0,1
2,10,The One with Russ,Thomas Schlamme,Ira Ungerleider,8,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,32200000,1,1,0,0,1,0
2,11,The One with the Lesbian Wedding,Thomas Schlamme,Doty Abrams,8.1,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,31600000,1,0,0,0,1,1
2,12,The One After the Superbowl: Part 1,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,8.6,Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.,52900000,0,1,1,0,0,1
2,13,The One After the Superbowl: Part 2,Michael Lembeck,Michael Borkow,8.7,"Ross finds Marcel on the set of a new movie, where Chandler bumps into a former schoolmate. Meanwhile, Rachel and Monica compete for the affections of Jean-Claude Van Damme.",52900000,1,1,0,1,1,0
2,14,The One with the Prom Video,James Burrows,Alexa Junge,9.4,The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.,33600000,1,0,1,1,1,0
2,15,The One Where Ross and Rachel... You Know,Michael Lembeck,Michael Curtis & Gregory S. Malins,8.9,Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.,32900000,1,1,1,1,1,0
2,16,The One Where Joey Moves Out,Michael Lembeck,Betsy Borns,8.6,Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.,31100000,1,0,1,1,1,1
2,17,The One Where Eddie Moves In,Michael Lembeck,Adam Chase,8.3,"Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment.",30200000,1,1,0,1,1,1
2,18,The One Where Dr. Ramoray Dies,Michael Lembeck,Story by: Alexa JungeTeleplay by: Michael Borkow,8.4,"Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica.",30100000,1,1,1,1,1,0
2,19,The One Where Eddie Won't Go,Michael Lembeck,Michael Curtis & Gregory S. Malins,8.5,"Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want.",31200000,0,1,1,1,0,0
2,20,The One Where Old Yeller Dies,Michael Lembeck,Story by: Michael Curtis & Gregory S. MalinsTeleplay by: Adam Chase,8.1,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.,27400000,1,1,1,1,1,1
2,21,The One with the Bullies,Michael Lembeck,Brian Buckner & Sebastian Jones,8.1,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.,24700000,1,1,1,1,1,1
2,22,The One with the Two Parties,Michael Lembeck,Alexa Junge,9,"Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting.",25500000,1,0,0,0,0,0
2,23,The One with the Chicken Pox,Michael Lembeck,Brown Mandell,8,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.,26100000,0,0,1,1,1,1
2,24,The One with Barry and Mindy's Wedding,Michael Lembeck,Story by: Ira UngerleiderTeleplay by: Brown Mandell,8.2,Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.,29000000,1,1,1,1,1,0
3,1,The One with the Princess Leia Fantasy,Gail Mancuso,Michael Curtis & Gregory S. Malins,8.4,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.,26760000,1,1,1,1,1,0
3,2,The One Where No One's Ready,Gail Mancuso,Ira Ungerleider,9,"A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space.",26730000,0,1,1,1,0,0
3,3,The One with the Jam,Kevin S. Bright,Wil Calhoun,8,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.,25230000,0,0,0,0,1,1
3,4,The One with the Metaphorical Tunnel,Steve Zuckerman,Alexa Junge,8,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.,26100000,0,1,1,1,0,1
3,5,The One with Frank Jr.,Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,8.1,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.,23250000,0,1,1,0,0,1
3,6,The One with the Flashback,Peter Bonerz,David Crane & Marta Kauffman,9.1,"The gang remember the events three years ago, when several of them almost slept together.",23270000,0,0,0,0,0,0
3,7,The One with the Race Car Bed,Gail Mancuso,Seth Kurland,8.3,Monica buys a bed from Janice's soon to be ex husband. Ross and Rachel have dinner with Rachel's father. Joey leads an acting class.,27360000,1,1,1,0,1,0
3,8,The One with the Giant Poking Device,Gail Mancuso,Adam Chase,8.3,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.,28690000,1,0,1,1,1,1
3,9,The One with the Football,Kevin S. Bright,Ira Ungerleider,9,"Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football.",29280000,0,1,0,0,1,0
3,10,The One Where Rachel Quits,Terry Hughes,Gregory S. Malins & Michael Curtis,8.1,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.,25100000,1,1,1,0,1,1
3,11,The One Where Chandler Can't Remember Which Sister,Terry Hughes,Alexa Junge,8.6,A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.,29800000,1,1,1,1,0,0
3,12,The One with All the Jealousy,Robby Benson,Doty Abrams,8.2,"Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.",29610000,0,1,1,0,1,0
3,13,The One Where Monica and Richard Are Just Friends,Robby Benson,Michael Borkow,8.2,"Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction"".",28030000,1,0,1,0,1,1
3,14,The One with Phoebe's Ex-Partner,Robby Benson,Wil Calhoun,7.8,"Phoebe is reunited with her former singing partner who thinks ""Smelly Cat"" has hit potential; Chandler dates a woman with a prosthetic leg.",28910000,0,0,0,1,0,1
3,15,The One Where Ross and Rachel Take a Break,James Burrows,Michael Borkow,8.5,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.,27250000,1,1,0,0,0,1
3,16,The One with the Morning After,James Burrows,David Crane & Marta Kauffman,9.1,"Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.",28260000,1,1,0,0,1,0
3,17,The One Without the Ski Trip,Sam Simon,Shana Goldberg-Meehan & Scott Silveri,8.3,"Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.",25840000,1,1,1,1,1,1
3,18,The One with the Hypnosis Tape,Robby Benson,Seth Kurland,8.4,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Phoebe's brother Frank makes a surprise announcement that he is getting married - to a woman twice his age.,28070000,0,0,0,1,1,1
3,19,The One with the Tiny T-Shirt,Terry Hughes,Adam Chase,8.1,"Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him.",23650000,1,1,1,0,1,0
3,20,The One with the Dollhouse,Terry Hughes,Wil Calhoun,8.1,"Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna.",24360000,1,0,0,1,1,1
3,21,The One with the Chick and the Duck,Michael Lembeck,Chris Brown,8.7,"Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.",23220000,1,1,1,1,1,0
3,22,The One with the Screamer,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,8.2,"Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company.",22630000,1,1,1,0,0,1
3,23,The One with Ross's Thing,Shelley Jensen,Ted Cohen & Andrew Reich,8,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.,24170000,0,1,0,0,1,1
3,24,The One with the Ultimate Fighting Champion,Robby Benson,Story by: Pang-Ni Landrum & Mark KunerthTeleplay by: Shana Goldberg-Meehan & Scott Silveri,8.1,Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.,23070000,1,1,0,1,1,1
3,25,The One at the Beach,Pamela Fryman,Story by: Pang-Ni Landrum & Mark KunerthTeleplay by: Adam Chase,8.8,"While at the beach, Phoebe meets a family friend with links to her past; Ross discovers that Rachel still loves him and must decide between her and Bonnie.",23390000,1,1,0,0,0,1
4,1,The One with the Jellyfish,Shelley Jensen,Wil Calhoun,9.1,"Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach.",29430000,1,1,1,1,1,0
4,2,The One with the Cat,Shelley Jensen,Jill Condon & Amy Toomin,8,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.,25540000,0,0,1,1,1,1
4,3,The One with the 'Cuffs,Peter Bonerz,Seth Kurland,8.5,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.,23980000,1,0,1,1,1,0
4,4,The One with the Ballroom Dancing,Gail Mancuso,Ted Cohen & Andrew Reich,8.2,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.,24310000,1,1,1,1,1,1
4,5,The One with Joey's New Girlfriend,Gail Mancuso,Gregory S. Malins & Michael Curtis,8.4,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.,24350000,1,1,1,1,0,1
4,6,The One with the Dirty Girl,Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,8.5,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.,25680000,1,1,1,1,1,1
4,7,The One Where Chandler Crosses the Line,Kevin S. Bright,Adam Chase,8.7,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.,26350000,0,1,1,1,0,1
4,8,The One with Chandler in a Box,Peter Bonerz,Michael Borkow,9.1,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.,26760000,1,0,1,1,1,0
4,9,The One Where They're Going to Party!,Peter Bonerz,Ted Cohen & Andrew Reich,7.9,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.,23890000,1,1,0,1,1,1
4,10,The One with the Girl from Poughkeepsie,Gary Halvorson,Scott Silveri,8,"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.",23220000,1,1,1,1,1,0
4,11,The One with Phoebe's Uterus,David Steinberg,Seth Kurland,8.5,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.,23660000,1,1,1,1,1,1
